ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Example_ID
28A-mei,mei,28A,4,28A-4,,Bhat-and-Ningomba-1997,
29A-mei,mei,29A,1,29A-1,,Bhat-and-Ningomba-1997,
26A-mhi,mhi,26A,2,26A-2,,Pandharipande-1997[passim],
26A-min,min,26A,1,26A-1,,Moussay-1981[passim],
27A-min,min,27A,1,27A-1,,,
26A-miz,miz,26A,1,26A-1,,Chhangte-1989[passim];Lorrain-and-Savidge-1898[passim],
26A-mme,mme,26A,2,26A-2,,Kangasmaa-Minn-1998[passim];Sebeok-and-Ingemann-1961[passim],
27A-mme,mme,27A,3,27A-3,,,
20A-mnd,mnd,20A,7,20A-7,,Bisang-1991;Bisang-1992;Li-and-Thompson-1981,igt-1472 igt-1473
21A-mnd,mnd,21A,1,21A-1,,Bisang-1991;Bisang-1992;Li-and-Thompson-1981,
21B-mnd,mnd,21B,1,21B-1,,Li-and-Thompson-1981;Bisang-1991;Bisang-1992,
22A-mnd,mnd,22A,1,22A-1,,Li-and-Thompson-1981,igt-3133 igt-3134
23A-mnd,mnd,23A,2,23A-2,,Li-and-Thompson-1981,
24A-mnd,mnd,24A,2,24A-2,,Li-and-Thompson-1981,
25A-mnd,mnd,25A,2,25A-2,,Li-and-Thompson-1981,
25B-mnd,mnd,25B,2,25B-2,,Li-and-Thompson-1981,
26A-mnd,mnd,26A,2,26A-2,,Li-and-Thompson-1981[passim],
27A-mnd,mnd,27A,1,27A-1,,Zhu-2001,
28A-mnd,mnd,28A,1,28A-1,,,
29A-mnd,mnd,29A,1,29A-1,,,
26A-moo,moo,26A,2,26A-2,,Lehr-et-al-1966[passim],
27A-moo,moo,27A,1,27A-1,,Nikiema-2001,
27A-mym,mym,27A,2,27A-2,,Moag-2001,
20A-nan,,20A,5,20A-5,,Creider-and-Creider-1989,
21A-nan,,21A,1,21A-1,,Creider-and-Creider-1989,
21B-nan,,21B,1,21B-1,,Creider-and-Creider-1989,
22A-nan,,22A,3,22A-3,,Creider-and-Creider-1989,
26A-nan,,26A,4,26A-4,,Creider-and-Creider-1989[passim];Hollis-1909[passim],
23A-nep,nep,23A,2,23A-2,,,
24A-nep,nep,24A,2,24A-2,,,
25A-nep,nep,25A,2,25A-2,,,
25B-nep,nep,25B,2,25B-2,,,
26A-nep,nep,26A,2,26A-2,,Bandhu-1973[passim];Hari-1973[passim];Meerendonk-1949[passim],
26A-nue,nue,26A,2,26A-2,,Frank-1999[passim],
26A-oya,oya,26A,2,26A-2,,Ray-2003[passim],
26A-pan,pan,26A,2,26A-2,,Bhatia-1993[passim];Gill-and-Gleason-1963[passim];Gill-and-Gleason-1969[passim],
27A-pan,pan,27A,1,27A-1,,Bhatia-2001,
27A-pnn,pnn,27A,1,27A-1,"<div class=""example"">    <table border=""0"">            <tr>        <td>          <p>            <span>CV-</span>          </p>        </td>        <td>          <p>            <span style=""font-style:italic;"">toó</span>          </p>        </td>        <td>          <p>            <span>‘man’ </span>          </p>        </td>        <td>          <p>            <span style=""font-style:italic;"">totóo</span>          </p>        </td>        <td>          <p>            <span>‘people’</span>          </p>        </td>      </tr>      <tr>        <td>          <p>            <span>-CV-</span>          </p>        </td>        <td>          <p>            <span style=""font-style:italic;"">amigo</span>          </p>        </td>        <td>          <p>            <span>‘friend’</span>          </p>        </td>        <td>          <p>            <span style=""font-style:italic;"">amimígo</span>          </p>        </td>        <td>          <p>            <span>‘friends’</span>          </p>        </td>      </tr>      <tr>        <td>          <p>            <span>CVC-</span>          </p>        </td>        <td>          <p>            <span style=""font-style:italic;"">báley</span>          </p>        </td>        <td>          <p>            <span>‘town’</span>          </p>        </td>        <td>          <p>            <span style=""font-style:italic;"">balbáley</span>          </p>        </td>        <td>          <p>            <span>‘towns’</span>          </p>        </td>      </tr>      <tr>        <td>          <p>            <span>C</span>            <span style=""vertical-align:sub;"">1</span>            <span>V-</span>          </p>        </td>        <td>          <p>            <span style=""font-style:italic;"">plato</span>          </p>        </td>        <td>          <p>            <span>‘plate’</span>          </p>        </td>        <td>          <p>            <span style=""font-style:italic;"">papláto</span>          </p>        </td>        <td>          <p>            <span>‘plates’</span>          </p>        </td>      </tr>      <tr>        <td>          <p>            <span>CVCV-</span>          </p>        </td>        <td>          <p>            <span style=""font-style:italic;"">manók</span>          </p>        </td>        <td>          <p>            <span>‘chicken’</span>          </p>        </td>        <td>          <p>            <span style=""font-style:italic;"">manómanók</span>          </p>        </td>        <td>          <p>            <span>‘chickens’</span>          </p>        </td>      </tr>      <tr>        <td>          <p>            <span>Ce-</span>          </p>        </td>        <td>          <p>            <span style=""font-style:italic;"">duég</span>          </p>        </td>        <td>          <p>            <span>‘carabao’</span>          </p>        </td>        <td>          <p>            <span style=""font-style:italic;"">deréweg</span>          </p>        </td>        <td>          <p>            <span>‘carabaos’</span>          </p>        </td>      </tr>    </table>  </div>  ",Rubino-2001b,
26A-pol,pol,26A,2,26A-2,,Bielec-1998[passim];Brooks-1975[passim];Siewierska-1993[passim];Stone-1980[passim],
26A-por,por,26A,2,26A-2,,Hutchinson-and-Lloyd-1996[passim];Parkinson-1988[passim],
27A-por,por,27A,3,27A-3,,Schmitt-2001,
20A-prs,prs,20A,1,20A-1,,Lambton-1974;Lazard-1957a;Mahootian-1997;Majidi-1986;Rastorgueva-1964,
21A-prs,prs,21A,1,21A-1,,Lambton-1974;Lazard-1957a;Mahootian-1997;Majidi-1986;Rastorgueva-1964,
21B-prs,prs,21B,1,21B-1,,Lazard-1957a;Mahootian-1997;Majidi-1986;Rastorgueva-1964;Lambton-1974,
22A-prs,prs,22A,3,22A-3,,Lambton-1974;Rastorgueva-1964,
23A-prs,prs,23A,3,23A-3,,Lazard-1992;Mahootian-1997,
24A-prs,prs,24A,1,24A-1,,Lazard-1992;Mahootian-1997,
25A-prs,prs,25A,5,25A-5,,Lazard-1992;Mahootian-1997,
25B-prs,prs,25B,2,25B-2,,Mahootian-1997;Lazard-1992,
26A-prs,prs,26A,3,26A-3,,Elwell-Sutton-1941[passim];Elwell-Sutton-1963[passim];Lambton-1967[passim];Lazard-1957a[passim];Rastorgueva-1964[passim],
27A-prs,prs,27A,1,27A-1,,Mahootian-1997[340],
28A-prs,prs,28A,1,28A-1,,Rubinchik-1960,
29A-prs,prs,29A,3,29A-3,,Rubinchik-1960,
27A-qay,qay,27A,1,27A-1,,Parker-1969[75],
27A-rnd,rnd,27A,1,27A-1,,,
26A-rom,rom,26A,2,26A-2,,Mallinson-1986[passim],
20A-rus,rus,20A,1,20A-1,,Wade-1992,
21A-rus,rus,21A,2,21A-2,,Wade-1992,
21B-rus,rus,21B,1,21B-1,,Wade-1992,
22A-rus,rus,22A,3,22A-3,,Wade-1992,
23A-rus,rus,23A,2,23A-2,,,
24A-rus,rus,24A,2,24A-2,,,
25A-rus,rus,25A,2,25A-2,,,
25B-rus,rus,25B,2,25B-2,,,
26A-rus,rus,26A,2,26A-2,,Bivon-1971[passim];Borras-and-Christian-1959[passim];Krylova-and-Khavronina-1976[passim];Launer-1974[passim];Stilman-and-Harkins-1964[passim];Wade-1992[passim],
27A-rus,rus,27A,3,27A-3,,Beyer-2001,
28A-rus,rus,28A,3,28A-3,,,
29A-rus,rus,29A,3,29A-3,,,
26A-sam,sam,26A,1,26A-1,,Marsack-1962[passim];Mosel-and-Hovdhaugen-1992[passim],
27A-sam,sam,27A,1,27A-1,,Moravcsik-1978,
20A-san,san,20A,1,20A-1,,Samarin-1967b,
21A-san,san,21A,5,21A-5,,Samarin-1967b,
21B-san,san,21B,6,21B-6,,Samarin-1967b,
22A-san,san,22A,1,22A-1,,Samarin-1967b,
23A-san,san,23A,4,23A-4,,Samarin-1967b,
24A-san,san,24A,2,24A-2,,Samarin-1967b,
25A-san,san,25A,5,25A-5,,Samarin-1967b,
25B-san,san,25B,2,25B-2,,Samarin-1967b,
26A-san,san,26A,6,26A-6,,Samarin-1967b[passim],
28A-san,san,28A,1,28A-1,,Samarin-1967b;Samarin-and-Walker-1994,
29A-san,san,29A,3,29A-3,,Samarin-1967b;Samarin-and-Walker-1994,
27A-ses,ses,27A,1,27A-1,,Demuth-and-Machobane-2001,
26A-shn,shn,26A,6,26A-6,,Fortune-1955[passim],
26A-slo,slo,26A,2,26A-2,,Herrity-2000[passim];Priestly-1993[passim],
26A-som,som,26A,2,26A-2,,Kirk-1903[passim];Kirk-1905[passim];Saeed-1987[passim],
27A-som,som,27A,1,27A-1,,,
20A-spa,spa,20A,1,20A-1,,Butt-and-Benjamin-2000,
21A-spa,spa,21A,1,21A-1,,Butt-and-Benjamin-2000,
21B-spa,spa,21B,2,21B-2,,Butt-and-Benjamin-2000,
22A-spa,spa,22A,3,22A-3,,Butt-and-Benjamin-2000,
23A-spa,spa,23A,3,23A-3,,,
24A-spa,spa,24A,2,24A-2,,,
25A-spa,spa,25A,5,25A-5,,,
25B-spa,spa,25B,2,25B-2,,,
26A-spa,spa,26A,2,26A-2,,Butt-and-Benjamin-2000[passim];Green-1988[passim],
27A-spa,spa,27A,3,27A-3,,Lopez-2001,
28A-spa,spa,28A,3,28A-3,,Butt-and-Benjamin-2000,
29A-spa,spa,29A,2,29A-2,,Butt-and-Benjamin-2000,
26A-stl,stl,26A,2,26A-2,,Macphail-1953[passim];Neukom-2001[passim],
27A-stl,stl,27A,1,27A-1,,Anderson-2001,
26A-sun,sun,26A,1,26A-1,,Hardjadibrata-1985[passim],
27A-sun,sun,27A,1,27A-1,,Robins-1959[360],
20A-swa,swa,20A,1,20A-1,,Ashton-1947;Perrott-1950,
21A-swa,swa,21A,5,21A-5,,Ashton-1947;Perrott-1950,
21B-swa,swa,21B,1,21B-1,,Perrott-1950;Ashton-1947,
22A-swa,swa,22A,3,22A-3,,Ashton-1947;Perrott-1950,
23A-swa,swa,23A,1,23A-1,,,
24A-swa,swa,24A,2,24A-2,,,
25A-swa,swa,25A,5,25A-5,,,
25B-swa,swa,25B,2,25B-2,,,
26A-swa,swa,26A,5,26A-5,,Ashton-1947[passim],
27A-swa,swa,27A,1,27A-1,,Njogu-2001b,
28A-swa,swa,28A,1,28A-1,,Ashton-1947;Myachina-1981,
29A-swa,swa,29A,2,29A-2,,Ashton-1947;Myachina-1981,
26A-swe,swe,26A,2,26A-2,,Holmes-and-Hinchliffe-1994[passim];McClean-1963[passim],
27A-swt,swt,27A,1,27A-1,,Kiyomi-1992;Mpunga-wa-Ilunga-2001,
26A-taj,taj,26A,3,26A-3,,Rastorgueva-1963[passim],
26A-tel,tel,26A,2,26A-2,,Lisker-1963[passim],
20A-tha,tha,20A,7,20A-7,,Bisang-1991;Bisang-1992;Noss-1964;Warotamasikkhadit-1972,
21A-tha,tha,21A,5,21A-5,,Bisang-1991;Bisang-1992;Noss-1964;Warotamasikkhadit-1972,
