lang,iso_code,wals_code,script,variety,name,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,family,genus,train_frac_estimate,ttr_flores,d_syn,h_dep_avg,h_codep_avg
hau_Latn,hau,hau,Latn,haus1257,Hausa,2.0,5.0,1.0,4.0,3.0,2.0,5.0,2.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,Afro-Asiatic,West Chadic,0.0036786154301055,0.189664490915894,0.45,,
heb_Hebr,heb,heb,Hebr,hebr1245,Hebrew,6.0,5.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,2.0,0.265816,0.002916649448,1.404472533,0.004894390514,0.188939859,0.008729938803,9.489467886,0.0268604452,8.799549238,0.02686774285,12.0,0.0,3.582896654,0.4987717643,-0.4390258522,0.0,Afro-Asiatic,Semitic,0.0,0.4949488875526157,0.52,0.35850335231112546,0.6188741742433425
hin_Deva,hin,hin,Deva,hind1269,Hindi,1.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,1.0,3.0,2.0,0.2209145,0.002932237158,1.197362476,0.004518716303,0.2165604927,0.00535206021,9.677578621,0.02597274565,9.024242814,0.03088907657,10.48,0.4995998399,3.386435367,0.3419674023,-0.6769703836,0.0,Indo-European,Indic,0.0368332622130518,0.2220896750308515,0.59,0.16241209836547357,0.49756485641563597
hne_Deva,hne,,Deva,chha1249,Chhattisgarhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.000416526091545,0.2446123821783,0.57,,
hrv_Latn,hrv,,Latn,croa1245,Croatian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0,0.416235167206041,0.79,0.436273591925776,0.734685908968786
hun_Latn,hun,hun,Latn,hung1274,Hungarian,1.0,1.0,1.0,3.0,2.0,1.0,5.0,2.0,2.0,1.0,4.0,3.0,0.348783,0.004860597803,1.391733545,0.004667974766,0.5965972903,0.007500796436,10.77446023,0.02264205279,10.17339126,0.02637111889,8.0,0.0,3.72509046,0.6553107254,-0.3979728231,0.0,Uralic,Ugric,0.0,0.451831750339213,0.6,0.4268370635128947,0.7945119563162655
hye_Armn,hye,arm,Armn,nucl1235,Armenian,,,,2.0,,,,,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,Indo-European,Armenian,0.0038406527454455,0.4255261000273299,0.66,,
ibo_Latn,ibo,igb,Latn,nucl1417,Igbo,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Niger-Congo,Igboid,0.0047853501292869,0.2003914546287427,0.61,,
ilo_Latn,ilo,ilo,Latn,ilok1237,Ilocano,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,Austronesian,Northern Luzon,0.0008069180557143,0.2433936022253129,0.7,,
ind_Latn,ind,ind,Latn,indo1316,Indonesian,2.0,5.0,1.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,0.302711,0.003485122523,1.038599384,0.001842578583,0.3359898069,0.005788804623,10.75660006,0.02742603645,10.68784507,0.02990780641,6.7,0.4582575695,2.711112641,0.3036415377,-0.8030036024,0.0,Austronesian,Malayo-Sumbawan,0.0040779026946507,0.2534618662121857,0.52,0.32375856653773394,0.49903548251708985
isl_Latn,isl,ice,Latn,icel1247,Icelandic,,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,Indo-European,Germanic,0.0,0.3507216494845361,0.47,,
ita_Latn,ita,ita,Latn,ital1282,Italian,,,,,,,,,2.0,3.0,,,0.2437408333333333,0.0030536672763333,1.304717124666667,0.0044521739226666,0.5009519405333334,0.0085614510436666,9.430709779666666,0.0259568482333333,8.619637586000001,0.0266694245966666,6.0,0.0,3.492087011333333,0.3069961418,-0.5456943969666667,0.0,Indo-European,Romance,0.0,0.275741935483871,0.51,0.46825714380462563,0.643149735768213
jav_Latn,jav,jav,Latn,java1254,java1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austronesian,Javanese,0.0046022035475362,0.2699478001491424,0.82,,
jpn_Jpan,jpn,jpn,Jpan,nucl1643,Japanese,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.2827255,0.00323656836,1.043163617,0.002361720004,0.3218547644,0.008011033919,9.533716339,0.02308107841,9.313048038,0.02684178501,0.0,0.0,1.342381297,1.342407073,-0.9159938381,0.0,Japanese,Japanese,0.0,0.9937106918238994,0.66,0.0,0.4688421344479345
kab_Latn,kab,kbl,Latn,kaby1243,Kabyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afro-Asiatic,Berber,0.0014078910259779,0.3115251299826689,0.69,,
kac_Latn,kac,jng,Latn,kach1280,Jingpho,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,Sino-Tibetan,Brahmaputran,0.0001955523739544,0.085017087355357,0.75,,
kam_Latn,kam,kba,Latn,kamb1297,Kamba,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0008891090046767,0.3275677255895537,0.81,,
kan_Knda,kan,knd,Knda,nucl1305,Kannada,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,Dravidian,Dravidian,0.0183927868584548,0.5561136814276272,0.64,,
kas_Arab,kas,kas,Arab,kash1277,Kashmiri (Arabic script),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.0004320379359924,0.4321410625371157,0.65,,
kas_Deva,kas,kas,Deva,kash1277,Kashmiri (Devanagari script),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Indic,0.0006527932051512,0.3629346977712254,0.65,,
kat_Geor,kat,geo,Geor,nucl1302,Georgian,1.0,1.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,Kartvelian,Kartvelian,0.0026404078945849,0.5013835085777532,0.61,,
kaz_Cyrl,kaz,kaz,Cyrl,kaza1248,Kazakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altaic,Turkic,0.0087261751565499,0.4583358994888218,0.9,0.07018532810891316,0.5300342362888815
kbp_Latn,kbp,kby,Latn,kabi1261,Kabiyè,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger-Congo,Grusi,0.0002977329955283,0.2433733930739919,0.73,,
kea_Latn,kea,,Latn,kabu1256,Kabuverdianu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0002785181037071,0.2403383875739645,0.57,,
khk_Cyrl,khk,kha,Cyrl,halh1238,Halh Mongolian,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,Altaic,Mongolic,0.0031078213477478,0.3635584137191854,0.69,,
khm_Khmr,khm,khm,Khmr,cent1989,Khmer (Central),,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Austro-Asiatic,Khmer,0.0021057249061706,0.9061100161261424,0.64,,
kik_Latn,kik,kik,Latn,kiku1240,Kikuyu,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0009931174451827,0.2748686514886164,0.75,,
kin_Latn,kin,kin,Latn,kiny1244,Kinyarwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niger-Congo,Bantu,0.0055800859468688,0.3599481865284974,0.77,,
kir_Cyrl,kir,kgz,Cyrl,kirg1245,Kyrgyz,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,Altaic,Turkic,0.0061157125668648,0.4467693440510523,0.77,,
kmb_Latn,kmb,,Latn,kimb1241,Kimbundu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Sudanic,Eastern Nilotic,0.0006919658593371,0.277214427929805,0.57,,
kmr_Latn,kmr,kji,Latn,nort2641,Northern Kurdish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-European,Iranian,0.0004367066786041,0.2951773835920177,0.74,0.2562413953378974,0.0
knc_Arab,knc,knr,Arab,cent2050,Central Kanuri (Arabic script),,,,,3.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,Saharan,Western Saharan,0.0023929650832001,0.5669509103480065,0.73,,
knc_Latn,knc,knr,Latn,cent2050,Central Kanuri (Latin script),,,,,3.0,2.0,5.0,2.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,Saharan,Western Saharan,0.0002230136029052,0.3806918017972789,0.73,,
