lang,iso_code,wals_code,script,variety,name,family,genus,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,81A,ttr_flores,rttr_flores,mattr_flores,ttr,msp,ws,wh,lh,is,mfh,-ia,h_dep,h_codep,SO_prop,head_finality,wiki_size
mni_Mtei,mni,mei,Mtei,mani1292,"Meitei (Manipuri, Meitei script)",Sino-Tibetan,Manipuri,1.0,0.4,0.69,0.492,0.4576,0.6,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,,0.3899730287164842,53.62519103700568,0.7338587724062857,,,,,,,,,,,,,10428.0
mos_Latn,mos,moo,Latn,moss1236,Mossi,Niger-Congo,Oti-Volta,1.0,0.2,0.68,0.4776,0.9139,0.6,,,,,,,,,2.0,1.0,,,2.0,0.2575701089432915,40.01963189997362,0.5378881651298626,,,,,,,,,,,,,
mri_Latn,mri,mao,Latn,maor1246,Maori,Austronesian,Oceanic,1.0,0.9,0.53,0.6198,0.6373,0.6,7.0,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.1271267040050724,21.419623590397343,0.4092829688060423,,,,,,,,,,,,,
mya_Mymr,mya,brm,Mymr,nucl1310,Burmese,Sino-Tibetan,Burmese-Lolo,1.0,0.4,0.73,0.3323,0.2566,0.5,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.8339107195882411,83.81943576838806,0.9341578508954624,,,,,,,,,,,,,108000.0
nld_Latn,nld,dut,Latn,dutc1256,Dutch,Indo-European,Germanic,0.6,0.0,0.49,0.4861,0.5687,0.5,,,,,,,,,2.0,,,,7.0,0.2447910512426641,39.00482513065734,0.5363406990759486,0.2776345,1.1522877355,0.4168981726,9.8278255895,9.491823557,3.0,3.4666062695,-0.5990001978499999,0.5224655205904492,0.65365583488978,-0.970448098267647,0.43,2162631.0
nno_Latn,nno,,Latn,norw1262,Norwegian Nynorsk,Eastern Sudanic,Eastern Nilotic,1.0,1.0,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,,0.2591160670682077,40.61763162745064,0.5438924105844892,,,,,,,,,,,,0.39,170075.0
nob_Latn,nob,,Latn,norw1259,Norwegian Bokmål,Eastern Sudanic,Eastern Nilotic,1.0,0.1,0.52,0.4769,0.4477,0.5,,,,,,,,,,,,,,0.2704305981913216,41.98734415998737,0.5553789130342945,,,,,,,,,,,-0.990035389081077,0.35,633125.0
npi_Deva,npi,nep,Deva,nepa1254,Nepali,Indo-European,Indic,0.9,1.0,0.88,0.5983,0.5687,0.9,,,,,2.0,2.0,2.0,2.0,2.0,,,,1.0,0.3452831975752983,50.17429415070531,0.67387563661057,,,,,,,,,,,,,31247.0
nqo_Nkoo,nqo,,Nkoo,nkoa1234,Nko,Eastern Sudanic,Eastern Nilotic,1.0,1.0,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,,0.2167617376042123,35.84638866772734,0.5299085999478437,,,,,,,,,,,,,
nso_Latn,nso,stn,Latn,pedi1238,Northern Sotho,Niger-Congo,Bantu,1.0,0.5,0.73,0.5983,0.5687,0.8,,,,,,,,,,,,,2.0,0.1777654662973222,29.250387848522827,0.4532130493678394,,,,,,,,,,,,,8612.0
nus_Latn,nus,nue,Latn,nuer1246,Nuer,Eastern Sudanic,Western Nilotic,1.0,0.3,0.71,0.4849,0.5687,0.6,,,,,,,,,2.0,,,,7.0,0.1701285116557083,27.83460511809168,0.4859212760287658,,,,,,,,,,,,,
nya_Latn,nya,cic,Latn,nyan1308,Nyanja,Niger-Congo,Bantu,1.0,0.4,0.69,0.5983,0.5687,0.8,,,,,,,,,,,,,2.0,0.3529566914596191,48.596637975855,0.6785802362119547,,,,,,,,,,,,,1030.0
oci_Latn,oci,occ,Latn,occi1239,Occitan,Indo-European,Romance,0.9,0.1,0.68,0.5983,0.5687,0.8,,,,,,,,,,,,,,0.2583724045545881,39.93337552612999,0.5522757706614383,,,,,,,,,,,,,89770.0
ory_Orya,ory,oya,Orya,oriy1255,Odia,Indo-European,Indic,0.9,1.0,0.57,0.5983,0.5687,0.6,,,,,,,,,2.0,,,,1.0,0.3631878150809825,49.59342581157723,0.7440587424918534,,,,,,,,,,,,,18369.0
pag_Latn,pag,pnn,Latn,pang1290,Pangasinan,Austronesian,Northern Luzon,1.0,0.5,0.72,0.5158,0.5687,0.6,,,,,,,,,,1.0,,,3.0,0.2658691877291144,38.28147022728984,0.5236888251865778,,,,,,,,,,,,,2585.0
pan_Guru,pan,pan,Guru,panj1256,Eastern Panjabi,Indo-European,Indic,0.9,0.3,0.65,0.4336,0.5687,0.6,,,,,,,,,2.0,1.0,,,1.0,0.2388065843621399,37.22626235674887,0.6023570438216765,,,,,,,,,,,,,
pap_Latn,pap,pap,Latn,papi1253,Papiamento,other,Creoles and Pidgins,0.9,0.4,1.0,0.5983,1.0,1.0,,,,,,,,,,,,,,0.1943580170089193,30.175607859441488,0.4835510463441573,,,,,,,,,,,,,4121.0
pbt_Arab,pbt,,Arab,sout2649,Southern Pashto,Eastern Sudanic,Eastern Nilotic,0.9,0.3,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,,0.2616639723297868,42.67530020298998,0.5795366283524874,,,,,,,,,,,,,19400.0
pes_Arab,pes,prs,Arab,west2369,Western Persian,Indo-European,Iranian,0.9,0.3,0.72,0.4807,0.3433,0.6,1.0,1.0,1.0,3.0,3.0,1.0,5.0,2.0,3.0,1.0,1.0,3.0,1.0,0.2238668255737957,36.10507617103463,0.5659122765757395,0.210736,1.311090238,0.1994997201,9.746808365,9.154790257,6.0,2.883288676,-0.6910323497,,,-0.92419532995967,0.48,1007573.0
