lang,iso_code,wals_code,script,variety,name,family,genus,d_syn,train_frac_estimate,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr_flores,ttr,ttr_sd,msp,msp_sd,ws,ws_sd,wh,wh_sd,lh,lh_sd,is,is_sd,mfh,mfh_sd,-ia,-ia_sd,h_dep_avg,h_codep_avg
prs_Arab,prs,dri,Arab,dari1249,Dari,Indo-European,Iranian,1.0,0.0012518626836118,,,,,,,,,,1.0,,,0.2346034655842171,,,,,,,,,,,,,,,,,,
quy_Latn,quy,qay,Latn,ayac1239,Ayacucho Quechua,Quechuan,Quechuan,0.92,0.0010604931047976,,,,,,,,,,1.0,,,0.5238445588923818,,,,,,,,,,,,,,,,,,
ron_Latn,ron,rom,Latn,roma1327,Romanian,Indo-European,Romance,0.53,0.0,,,,,,,,,2.0,,,,0.3114768683274021,0.2758895,0.0036367798639999,1.7756726315,0.0050230030015,0.42018721275,0.0073562020545,9.999405354,0.02502473342,8.8749691385,0.028757345135,8.05,0.15,3.883758134,0.6702779786999999,-0.3030110949,0.0,0.4653150268693714,0.580213481410375
run_Latn,run,rnd,Latn,rund1242,Rundi,Niger-Congo,Bantu,0.95,0.0020182915595327,,,,,,,,,,1.0,,,0.3516313823163138,,,,,,,,,,,,,,,,,,
rus_Cyrl,rus,rus,Cyrl,russ1263,Russian,Indo-European,Slavic,0.49,0.0203632438640874,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,0.4371939535873962,0.4625082499999999,0.00463147432,1.4782379529999998,0.004069824834,0.4873502554,0.006231377053,11.579303565,0.02760559511,10.79271158,0.02492292857,11.5,0.0,3.5974929235,0.58373414245,-0.2865155575,0.0,0.514019762702046,0.787732531566447
sag_Latn,sag,san,Latn,sang1328,Sango,Niger-Congo,Ubangi,0.62,0.0008622312773801,1.0,5.0,6.0,1.0,4.0,2.0,5.0,2.0,6.0,,1.0,3.0,0.1081697701727898,,,,,,,,,,,,,,,,,,
sat_Olck,sat,stl,Olck,sant1410,Santali,Austro-Asiatic,Munda,0.72,0.0,,,,,,,,,2.0,1.0,,,0.2741046233991752,,,,,,,,,,,,,,,,,,
slv_Latn,slv,slo,Latn,slov1268,Slovenian,Indo-European,Slavic,0.56,0.0,,,,,,,,,2.0,,,,0.4069498475449479,0.397861,0.004112527082,1.489263086,0.004066053056,0.4468196569,0.006160322378,10.91581693,0.02351622518,9.921261355,0.0265127176,8.0,0.0,3.938216931,0.625168676,-0.2840205475,0.0,0.4572784824948805,0.8285233504238815
smo_Latn,smo,sam,Latn,samo1305,Samoan,Austronesian,Oceanic,0.67,0.001921769080563,,,,,,,,,1.0,1.0,,,0.1218254098629957,,,,,,,,,,,,,,,,,,
sna_Latn,sna,shn,Latn,shon1251,Shona,Niger-Congo,Bantu,0.75,0.0051588271098744,,,,,,,,,6.0,,,,0.492082751926227,,,,,,,,,,,,,,,,,,
